strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy0 / Baseline,NES,GOOGL,equities,15min,train,-0.883824,-30.373724,-30.373724,-8.920016,60.170591,0.213295,-1.162851,-1.162851,-2.049798,-41.570355,-0.214576,0.286138,0.116423,29489.899756,1349,-22.515733,0.347414,1.0,optimized
Strategy0 / Baseline,NES,GOOGL,equities,15min,validation,0.360578,-1.956725,-1.956725,-2.399609,23.747447,0.307054,-0.909999,-0.909999,-1.388817,-6.613419,-0.362839,0.301887,0.043346,2317.302829,265,-7.383868,0.322297,1.0,optimized
Strategy0 / Baseline,NES,META,equities,15min,train,-32.367456,-52.704387,-52.704387,-17.571412,108.852072,-0.949109,-1.791175,-1.791175,-3.456213,-58.185082,-0.301992,0.313525,0.080288,20336.931072,976,-54.000396,0.331741,1.0,baseline
Strategy0 / Baseline,NES,META,equities,15min,validation,5.47313,3.989239,3.989239,4.995696,29.938417,3.538687,2.618265,2.618265,5.07566,-8.797536,0.567852,0.373563,0.027757,1483.891179,174,22.92666,0.292181,1.0,baseline
Strategy0 / Baseline,NES,META,equities,15min,train,0.477809,-5.944383,-5.944383,-1.57049,23.385732,0.178757,-0.717199,-0.717199,-1.408578,-11.090596,-0.141606,0.338506,0.025354,6422.192549,1031,-5.765648,0.339558,1.0,optimized
Strategy0 / Baseline,NES,META,equities,15min,validation,10.298718,8.28815,8.28815,10.39808,32.817286,5.297043,4.294898,4.294898,8.197027,-7.488495,1.388541,0.388601,0.037609,2010.567517,193,42.943785,0.321549,1.0,optimized
Strategy0 / Baseline,NES,MSFT,equities,15min,train,-17.510155,-45.550505,-45.550505,-14.521905,104.170665,-0.339043,-1.51142,-1.51142,-2.497646,-51.643169,-0.281197,0.318134,0.1107,28040.350823,943,-48.303823,0.328741,1.0,baseline
Strategy0 / Baseline,NES,MSFT,equities,15min,validation,1.961822,-0.525836,-0.525836,-0.652854,32.905131,1.172829,-0.103478,-0.103478,-0.168081,-9.192948,-0.071017,0.379487,0.046533,2487.657609,195,-2.696593,0.317434,1.0,baseline
Strategy0 / Baseline,NES,MSFT,equities,15min,train,48.229728,16.983397,16.983397,4.152835,124.525122,2.447908,1.305722,1.305722,2.111644,-34.420846,0.120649,0.372712,0.123357,31246.33185,601,28.258563,0.315476,1.0,optimized
Strategy0 / Baseline,NES,MSFT,equities,15min,validation,2.882569,0.282747,0.282747,0.34764,53.192461,1.583146,0.397041,0.397041,0.646372,-9.585637,0.036267,0.392593,0.048631,2599.821463,135,2.094425,0.300973,1.0,optimized
Strategy0 / Baseline,NES,NVDA,equities,15min,train,90.07481,75.3029,75.3029,15.591479,58.591624,4.25005,3.620361,3.620361,7.337087,-19.535541,0.798108,0.340403,0.058318,14771.909386,943,79.854613,0.344769,1.0,baseline
Strategy0 / Baseline,NES,NVDA,equities,15min,validation,12.117583,10.713288,10.713288,13.233353,41.051196,4.834871,4.296124,4.296124,9.475586,-5.551593,2.383704,0.336683,0.026268,1404.295281,199,53.835618,0.329405,1.0,baseline
Strategy0 / Baseline,NES,NVDA,equities,15min,train,144.53292,118.23391,118.23391,22.385641,154.228074,4.090677,3.553812,3.553812,5.805416,-32.95416,0.679296,0.364094,0.103826,26299.009648,596,198.379044,0.320884,1.0,optimized
Strategy0 / Baseline,NES,NVDA,equities,15min,validation,31.241005,29.107847,29.107847,36.609213,110.420984,7.130857,6.677625,6.677625,14.806856,-9.216811,3.972004,0.403226,0.039902,2133.15756,124,234.740704,0.327348,1.0,optimized
Strategy0 / Baseline,NES,TSLA,equities,15min,train,416.911445,374.203614,374.203614,49.446216,97.397492,6.868454,6.344586,6.344586,14.186247,-18.479266,2.675767,0.359462,0.168606,42707.830962,893,419.041002,0.326056,1.0,baseline
Strategy0 / Baseline,NES,TSLA,equities,15min,validation,8.912109,7.83957,7.83957,9.653913,42.266464,3.628925,3.218465,3.218465,5.685265,-6.46455,1.493362,0.348718,0.020062,1072.538469,195,40.202924,0.345866,1.0,baseline
Strategy0 / Baseline,NES,TSLA,equities,15min,train,619.782231,539.506947,539.506947,61.65685,197.137506,6.552641,6.03232,6.03232,12.337589,-37.562141,1.641463,0.389803,0.316918,80275.28338,608,887.346953,0.315041,1.0,optimized
Strategy0 / Baseline,NES,TSLA,equities,15min,validation,45.968283,43.662161,43.662161,55.660446,166.447491,6.609711,6.320838,6.320838,11.814167,-27.13849,2.050978,0.376923,0.043137,2306.121982,130,335.862779,0.338197,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,DBC,commodities,15min,train,-0.860742,-48.171382,-48.171382,-15.601423,60.165586,0.169655,-3.007488,-3.007488,-6.160427,-52.984979,-0.29445,0.248384,0.124523,47310.640067,1083,-44.479578,0.291603,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,DBC,commodities,15min,validation,-15.293488,-25.293452,-25.293452,-29.956387,52.46809,-4.368374,-7.327596,-7.327596,-8.958359,-29.070279,-1.030482,0.241667,0.124703,9999.964135,240,-105.389384,0.283577,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,DBC,commodities,15min,train,17.533464,-26.110906,-26.110906,-7.512455,83.28977,1.29315,-1.064609,-1.064609,-1.886033,-34.989645,-0.214705,0.308933,0.114873,43644.369804,806,-32.395665,0.34273,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,DBC,commodities,15min,validation,-11.639358,-22.59772,-22.59772,-26.854118,89.419679,-2.13063,-4.490584,-4.490584,-5.650984,-31.345932,-0.856702,0.315789,0.136655,10958.361759,190,-118.935366,0.337823,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,train,17.248824,-32.807432,-32.807432,-9.780471,53.8489,1.426744,-2.099834,-2.099834,-4.006811,-37.83552,-0.2585,0.238748,0.131744,50056.255377,1022,-32.101205,0.27576,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,validation,4.572766,-3.317336,-3.317336,-4.0339,28.623605,2.300423,-1.404212,-1.404212,-2.684053,-10.762565,-0.374808,0.248996,0.098393,7890.10276,249,-13.322636,0.317621,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,train,4.540347,-6.99397,-6.99397,-1.859389,11.670402,1.416109,-2.041468,-2.041468,-3.791819,-9.183628,-0.202468,0.254902,0.030357,11534.317116,969,-7.21772,0.262495,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,validation,2.860982,1.119946,1.119946,1.368636,7.594141,5.490878,2.175782,2.175782,4.424148,-1.494309,0.915899,0.278761,0.021711,1741.035633,226,4.955515,0.305649,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,SLV,commodities,15min,train,-13.293277,-38.403788,-38.403788,-11.773048,50.957154,-0.845058,-2.850393,-2.850393,-4.907119,-41.123803,-0.286283,0.276892,0.066089,25110.51079,1004,-38.250785,0.27426,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,SLV,commodities,15min,validation,-4.565995,-12.801164,-12.801164,-15.408448,61.790901,-0.893531,-3.046101,-3.046101,-6.5539,-18.004073,-0.855831,0.248848,0.102696,8235.169182,217,-58.991541,0.283389,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,SLV,commodities,15min,train,-9.846747,-40.368183,-40.368183,-12.509646,115.533569,-0.05147,-1.606888,-1.606888,-2.619307,-43.894738,-0.284992,0.325409,0.08033,30521.436217,673,-59.982441,0.245993,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,SLV,commodities,15min,validation,9.51423,3.900048,3.900048,4.785592,63.267809,3.428909,1.607118,1.607118,3.570335,-6.825468,0.701138,0.298701,0.070011,5614.182288,154,25.324984,0.266741,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,USO,commodities,15min,train,-13.673452,-53.364834,-53.364834,-17.872169,92.992286,-0.218683,-1.928935,-1.928935,-3.795179,-63.561758,-0.281178,0.271277,0.104465,39691.382284,1128,-47.30925,0.291749,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,USO,commodities,15min,validation,-16.888159,-22.226406,-22.226406,-26.57651,38.898009,-6.428888,-8.493907,-8.493907,-11.763756,-26.617838,-0.998447,0.27459,0.06657,5338.247557,244,-91.091829,0.295548,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,USO,commodities,15min,train,-4.057322,-21.338051,-21.338051,-6.007191,61.498167,-0.051882,-1.449927,-1.449927,-2.581598,-37.12062,-0.161829,0.320988,0.045482,17280.729281,729,-29.270303,0.279668,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,USO,commodities,15min,validation,-10.592675,-12.584386,-12.584386,-15.236951,27.74544,-8.094745,-9.6277,-9.6277,-13.623084,-14.959564,-1.018542,0.245399,0.024837,1991.710837,163,-77.204824,0.284512,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,BNBUSDT,crypto,15min,train,-32.802856,-99.429669,-99.429669,-73.636692,186.626097,0.058396,-2.842249,-2.842249,-7.566285,-99.78771,-0.737933,0.187903,0.012246,66626.812946,2480,-40.092609,0.267701,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,BNBUSDT,crypto,15min,validation,9.24847,-62.630816,-62.630816,-69.572429,171.54228,0.982098,-2.621819,-2.621819,-7.548591,-81.213011,-0.856666,0.194946,0.06161,71879.285495,554,-113.052014,0.28618,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,BNBUSDT,crypto,15min,train,-34.712027,-99.372618,-99.372618,-72.98009,329.304377,0.497561,-1.876479,-1.876479,-4.014428,-99.906149,-0.730486,0.273919,0.011884,64660.590841,1526,-65.119671,0.280221,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,BNBUSDT,crypto,15min,validation,99.767068,30.354035,30.354035,37.771382,239.992594,4.51698,2.205722,2.205722,6.225737,-59.537567,0.634413,0.28882,0.059496,69413.032694,322,94.267189,0.294099,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,train,60.950168,-84.597763,-84.597763,-38.287008,179.575436,1.213398,-0.672985,-0.672985,-1.880591,-84.813501,-0.451426,0.192207,0.026751,145547.931702,2284,-37.039301,0.276891,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,validation,33.453166,-13.025935,-13.025935,-15.662733,94.188297,2.852325,-0.539896,-0.539896,-1.465025,-34.365568,-0.455768,0.230612,0.039839,46479.101528,490,-26.583541,0.305551,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,train,61.383564,12.247358,12.247358,3.026097,35.188217,3.098572,0.784357,0.784357,1.986853,-15.500483,0.195226,0.251843,0.009031,49136.205975,1763,6.946885,0.285691,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,validation,37.756046,17.353577,17.353577,21.57424,55.896274,5.926083,2.907217,2.907217,7.722192,-12.015878,1.795478,0.330532,0.017488,20402.469133,357,48.609459,0.316419,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,ETHUSDT,crypto,15min,train,3.484708,-81.918225,-81.918225,-35.679429,107.02526,0.373059,-1.671648,-1.671648,-3.983347,-83.813148,-0.425702,0.216938,0.015697,85402.933,2397,-34.175313,0.287544,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,ETHUSDT,crypto,15min,validation,30.447961,9.282315,9.282315,11.325521,60.227483,3.550307,1.286529,1.286529,4.269311,-17.352539,0.652672,0.209877,0.018142,21165.645607,486,19.099414,0.271711,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,ETHUSDT,crypto,15min,train,9.093217,-22.481041,-22.481041,-6.359328,37.651739,0.699478,-1.191527,-1.191527,-2.359406,-23.30274,-0.2729,0.283582,0.005803,31574.257947,1608,-13.980747,0.309974,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,ETHUSDT,crypto,15min,validation,23.61072,13.659789,13.659789,16.736487,58.099356,4.376574,2.634387,2.634387,7.362286,-13.021256,1.28532,0.275974,0.008529,9950.930919,308,44.349965,0.289231,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,SOLUSDT,crypto,15min,train,-36.40301,-76.390441,-76.390441,-31.103687,79.101561,-0.74642,-2.006838,-2.006838,-4.561648,-77.441617,-0.40164,0.221334,0.007349,39987.430975,2503,-30.519553,0.286426,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,SOLUSDT,crypto,15min,validation,12.734673,-17.902382,-17.902382,-21.213376,91.745497,1.342444,-0.89309,-0.89309,-2.135315,-33.843785,-0.626803,0.231499,0.02626,30637.055006,527,-33.970364,0.294854,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,SOLUSDT,crypto,15min,train,-5.440912,-16.686069,-16.686069,-4.602395,24.004956,-0.401073,-1.484158,-1.484158,-2.827744,-20.084917,-0.229147,0.301158,0.002067,11245.157551,1554,-10.737496,0.295212,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,SOLUSDT,crypto,15min,validation,13.213836,7.976576,7.976576,9.71769,31.651031,4.154962,2.562139,2.562139,6.16311,-6.771956,1.43499,0.335347,0.004489,5237.260005,331,24.098417,0.304694,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,train,39.839662,17.75029,17.75029,4.313774,42.329813,2.732592,1.363182,1.363182,3.03078,-16.555941,0.260557,0.292883,0.087206,22089.371181,1096,16.19552,0.318437,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation,3.909767,2.01334,2.01334,2.532227,28.816134,2.060361,1.126964,1.126964,3.044214,-7.435892,0.340541,0.281385,0.035474,1896.427257,231,8.715759,0.299102,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,train,21.476813,14.503816,14.503816,3.559825,25.858346,3.575448,2.468489,2.468489,4.677232,-5.882624,0.605142,0.359673,0.027529,6972.997626,734,19.759967,0.296723,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation,12.681258,11.430858,11.430858,14.435018,33.568119,8.649807,7.795977,7.795977,25.443951,-3.47811,4.150248,0.374101,0.023389,1250.400143,139,82.236388,0.274037,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,AMZN,equities,15min,train,57.238143,23.13391,23.13391,5.517537,73.371171,2.341535,1.194373,1.194373,2.524642,-32.812429,0.168154,0.305481,0.13464,34104.232414,1113,20.785184,0.332136,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,AMZN,equities,15min,validation,-8.348913,-10.725882,-10.725882,-13.099612,36.584376,-3.042041,-3.955308,-3.955308,-6.492904,-14.44509,-0.906856,0.272358,0.044463,2376.968979,246,-43.601148,0.308829,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,AMZN,equities,15min,train,16.202372,12.080981,12.080981,2.997977,27.652299,3.097432,2.351287,2.351287,4.313037,-11.938374,0.251121,0.368249,0.016271,4121.39105,611,19.772472,0.331307,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,AMZN,equities,15min,validation,1.500005,0.922403,0.922403,1.127298,20.782959,1.878505,1.197824,1.197824,2.297462,-2.270863,0.496418,0.323308,0.010804,577.602139,133,6.935359,0.311074,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,GOOGL,equities,15min,train,-24.240567,-52.968646,-52.968646,-17.703976,87.183407,-0.800138,-2.070444,-2.070444,-3.561412,-64.041516,-0.276445,0.283319,0.113415,28728.079042,1133,-46.750791,0.319305,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,GOOGL,equities,15min,validation,-2.483468,-5.144528,-5.144528,-6.285626,34.98045,-0.928197,-2.097153,-2.097153,-3.180998,-10.486676,-0.599392,0.316514,0.049777,2661.059659,218,-23.598751,0.285634,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,GOOGL,equities,15min,train,-4.153282,-36.633327,-36.633327,-11.107741,145.418518,0.463237,-0.5831,-0.5831,-1.045992,-61.661236,-0.180141,0.330818,0.128228,32480.044364,795,-46.079656,0.34619,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,GOOGL,equities,15min,validation,-7.847834,-12.326313,-12.326313,-14.926862,112.70373,-0.972436,-1.817872,-1.817872,-2.641175,-27.745685,-0.537989,0.36646,0.083773,4478.479512,161,-76.560953,0.326038,1.0,optimized
