strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,train,322.895703,55.417386,55.417386,12.049937,254.999759,3.235773,1.689392,1.689392,3.784728,-56.199394,0.214414,0.314567,0.049161,267478.316399,1119,49.524027,0.326023,4.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation,22.177048,1.905816,1.905816,2.331175,114.299282,3.172445,0.787933,0.787933,1.576339,-32.642408,0.071416,0.382353,0.017375,20271.231626,238,8.007631,0.353619,4.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,ETHUSDT,crypto,15min,train,-22.53994,-73.409253,-73.409253,-28.949636,170.540654,-0.008695,-1.318387,-1.318387,-2.482848,-76.519678,-0.378329,0.310606,0.00935,50869.312685,1188,-61.7923,0.340425,4.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,ETHUSDT,crypto,15min,validation,44.816746,34.146193,34.146193,42.620184,93.864681,6.795345,5.261647,5.261647,13.880992,-11.453561,3.72113,0.35514,0.009146,10670.553452,214,159.561647,0.316042,4.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,train,25.615657,19.972432,19.972432,4.822238,32.147817,4.393477,3.483576,3.483576,5.800043,-10.628395,0.453713,0.39356,0.022279,5643.225161,559,35.728858,0.311686,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,validation,3.37579,2.936339,2.936339,3.69765,16.582681,5.9284,5.168174,5.168174,9.622506,-2.188143,1.689857,0.371681,0.00822,439.450639,113,25.985304,0.287879,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,MSFT,equities,15min,train,-6.436521,-19.244646,-19.244646,-5.393407,167.480848,0.442741,-0.21458,-0.21458,-0.31938,-48.378683,-0.111483,0.438903,0.050565,12808.125257,401,-47.991636,0.454836,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,MSFT,equities,15min,validation,2.801131,2.103456,2.103456,2.619095,26.915175,4.177168,3.174279,3.174279,4.433462,-4.30338,0.608614,0.52381,0.01305,697.675357,84,25.04114,0.42948,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,NVDA,equities,15min,train,59.45583,52.314652,52.314652,11.506845,93.07468,4.181184,3.752193,3.752193,5.894532,-17.146802,0.671078,0.416851,0.028193,7141.178803,451,115.99701,0.38409,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,NVDA,equities,15min,validation,11.164571,10.492819,10.492819,12.955665,54.407593,7.109487,6.697148,6.697148,13.351241,-3.227316,4.014377,0.468085,0.012566,671.751696,94,111.625736,0.369248,1.0,optimized
