strategy,optimizer,asset,asset_class,frequency,iteration,candidate_id,params_json,train_net_sharpe,train_gross_sharpe,train_sharpe,train_net_return,train_return,train_volatility,train_max_drawdown,train_trade_count,train_total_cost,train_turnover,cost_bps,valid
Strategy0 / Baseline,NES,DBC,commodities,15min,4,39,"{""entry_interval"": 16, ""lookback"": 18, ""vol_target"": 0.018465}",-3.018092,-0.946973,-3.018092,-43.029969,-43.029969,89.369887,-45.934262,596,26198.109844,0.068954,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,4,40,"{""entry_interval"": 10, ""lookback"": 10, ""vol_target"": 0.020093}",-1.071474,1.686517,-1.071474,-24.114642,-24.114642,68.801037,-31.799818,931,49048.543779,0.129097,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,41,"{""entry_interval"": 11, ""lookback"": 5, ""vol_target"": 0.027683}",-1.842645,0.424006,-1.842645,-31.736266,-31.736266,88.480498,-33.878646,620,32429.419117,0.085355,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,42,"{""entry_interval"": 16, ""lookback"": 7, ""vol_target"": 0.034959}",-2.6268,-0.382931,-2.6268,-38.768183,-38.768183,85.063855,-41.589879,620,29144.142381,0.076708,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,43,"{""entry_interval"": 17, ""lookback"": 5, ""vol_target"": 0.026796}",-1.842645,0.424006,-1.842645,-31.736266,-31.736266,88.480498,-33.878646,620,32429.419117,0.085355,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,44,"{""entry_interval"": 10, ""lookback"": 5, ""vol_target"": 0.021139}",-2.59923,0.488451,-2.59923,-42.882885,-42.882885,64.717916,-44.90344,971,46509.819474,0.122415,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,45,"{""entry_interval"": 10, ""lookback"": 12, ""vol_target"": 0.032342}",-1.359337,1.483819,-1.359337,-28.157429,-28.157429,68.600601,-34.387606,930,49031.547478,0.129052,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,46,"{""entry_interval"": 10, ""lookback"": 5, ""vol_target"": 0.025065}",-2.59923,0.488451,-2.59923,-42.882885,-42.882885,64.717916,-44.90344,971,46509.819474,0.122415,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,47,"{""entry_interval"": 10, ""lookback"": 6, ""vol_target"": 0.033228}",-2.887024,0.102532,-2.887024,-46.072973,-46.072973,65.618408,-47.610146,960,43828.785012,0.115359,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,5,48,"{""entry_interval"": 19, ""lookback"": 6, ""vol_target"": 0.038886}",-2.051709,0.250425,-2.051709,-33.16419,-33.16419,85.962422,-35.981012,620,31577.073864,0.083112,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,49,"{""entry_interval"": 37, ""lookback"": 6, ""vol_target"": 0.039167}",-2.051709,0.250425,-2.051709,-33.16419,-33.16419,85.962422,-35.981012,620,31577.073864,0.083112,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,50,"{""entry_interval"": 37, ""lookback"": 12, ""vol_target"": 0.03293}",-0.863692,1.22408,-0.863692,-19.114533,-19.114533,88.446652,-30.644834,604,31791.205694,0.083675,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,51,"{""entry_interval"": 39, ""lookback"": 12, ""vol_target"": 0.033725}",-0.863692,1.22408,-0.863692,-19.114533,-19.114533,88.446652,-30.644834,604,31791.205694,0.083675,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,52,"{""entry_interval"": 33, ""lookback"": 7, ""vol_target"": 0.033363}",-2.6268,-0.382931,-2.6268,-38.768183,-38.768183,85.063855,-41.589879,620,29144.142381,0.076708,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,53,"{""entry_interval"": 34, ""lookback"": 13, ""vol_target"": 0.032458}",-2.290766,-0.207569,-2.290766,-36.141034,-36.141034,87.572099,-39.572113,616,28265.051151,0.074394,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,54,"{""entry_interval"": 34, ""lookback"": 7, ""vol_target"": 0.038695}",-2.6268,-0.382931,-2.6268,-38.768183,-38.768183,85.063855,-41.589879,620,29144.142381,0.076708,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,55,"{""entry_interval"": 32, ""lookback"": 7, ""vol_target"": 0.0379}",-2.6268,-0.382931,-2.6268,-38.768183,-38.768183,85.063855,-41.589879,620,29144.142381,0.076708,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,6,56,"{""entry_interval"": 38, ""lookback"": 12, ""vol_target"": 0.038262}",-0.863692,1.22408,-0.863692,-19.114533,-19.114533,88.446652,-30.644834,604,31791.205694,0.083675,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,57,"{""entry_interval"": 53, ""lookback"": 25, ""vol_target"": 0.033344}",-1.849867,0.171118,-1.849867,-31.230259,-31.230259,90.613822,-35.142483,589,28244.036917,0.074339,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,58,"{""entry_interval"": 60, ""lookback"": 29, ""vol_target"": 0.033303}",-1.761569,0.282969,-1.761569,-30.098719,-30.098719,91.374984,-34.27427,580,28591.670768,0.075254,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,59,"{""entry_interval"": 53, ""lookback"": 30, ""vol_target"": 0.029512}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,60,"{""entry_interval"": 46, ""lookback"": 29, ""vol_target"": 0.019114}",-1.761569,0.282969,-1.761569,-30.098719,-30.098719,91.374984,-34.27427,580,28591.670768,0.075254,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,61,"{""entry_interval"": 60, ""lookback"": 30, ""vol_target"": 0.02697}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,62,"{""entry_interval"": 53, ""lookback"": 29, ""vol_target"": 0.027011}",-1.761569,0.282969,-1.761569,-30.098719,-30.098719,91.374984,-34.27427,580,28591.670768,0.075254,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,63,"{""entry_interval"": 59, ""lookback"": 26, ""vol_target"": 0.030801}",-1.352959,0.675038,-1.352959,-25.346111,-25.346111,91.065975,-33.008136,583,29414.078502,0.077419,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,7,64,"{""entry_interval"": 60, ""lookback"": 29, ""vol_target"": 0.0412}",-1.761569,0.282969,-1.761569,-30.098719,-30.098719,91.374984,-34.27427,580,28591.670768,0.075254,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,1,"{""entry_interval"": 37, ""lookback"": 15, ""vol_target"": 0.011576}",-3.018686,-0.42595,-3.018686,-17.150869,-17.150869,36.221304,-20.48908,532,13958.266216,0.036737,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,2,"{""entry_interval"": 18, ""lookback"": 18, ""vol_target"": 0.005}",-3.015064,-0.416067,-3.015064,-7.708924,-7.708924,15.935526,-9.387329,533,6479.825371,0.017054,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,3,"{""entry_interval"": 30, ""lookback"": 15, ""vol_target"": 0.017438}",-1.048469,2.045002,-1.048469,-13.227039,-13.227039,43.251761,-23.827819,850,32766.942857,0.08624,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,4,"{""entry_interval"": 37, ""lookback"": 10, ""vol_target"": 0.027123}",-1.112458,1.459744,-1.112458,-16.862865,-16.862865,75.690061,-32.149714,537,29845.51807,0.078551,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,5,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",-2.140157,0.487033,-2.140157,-26.507727,-26.507727,74.804383,-32.903754,537,28279.164258,0.074429,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,6,"{""entry_interval"": 42, ""lookback"": 10, ""vol_target"": 0.035803}",-1.112458,1.459744,-1.112458,-16.862865,-16.862865,75.690061,-32.149714,537,29845.51807,0.078551,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,7,"{""entry_interval"": 30, ""lookback"": 13, ""vol_target"": 0.022562}",-1.308879,1.758361,-1.308879,-22.272458,-22.272458,61.27057,-31.649935,835,43418.81976,0.114275,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,8,"{""entry_interval"": 23, ""lookback"": 18, ""vol_target"": 0.012877}",-3.015323,-0.419528,-3.015323,-19.340698,-19.340698,41.036271,-22.660726,533,15674.392792,0.041254,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,9,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,10,"{""entry_interval"": 51, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,11,"{""entry_interval"": 57, ""lookback"": 9, ""vol_target"": 0.049608}",-0.525752,2.165312,-0.525752,-10.66885,-10.66885,75.447548,-29.249109,544,32895.748478,0.086579,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,12,"{""entry_interval"": 58, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,13,"{""entry_interval"": 55, ""lookback"": 5, ""vol_target"": 0.041143}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,14,"{""entry_interval"": 60, ""lookback"": 9, ""vol_target"": 0.047103}",-0.525752,2.165312,-0.525752,-10.66885,-10.66885,75.447548,-29.249109,544,32895.748478,0.086579,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,15,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,16,"{""entry_interval"": 60, ""lookback"": 8, ""vol_target"": 0.040394}",-1.581834,1.130965,-1.581834,-21.78472,-21.78472,74.564874,-29.323706,553,30989.233581,0.081561,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,2,17,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.047316}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,2,18,"{""entry_interval"": 60, ""lookback"": 7, ""vol_target"": 0.05}",-1.83126,0.925482,-1.83126,-24.988986,-24.988986,75.443021,-36.809357,566,31976.252565,0.084159,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,2,19,"{""entry_interval"": 56, ""lookback"": 14, ""vol_target"": 0.046903}",-2.283981,0.264399,-2.283981,-28.163839,-28.163839,75.85068,-33.568663,537,27526.052319,0.072447,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,2,20,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,2,21,"{""entry_interval"": 55, ""lookback"": 7, ""vol_target"": 0.05}",-1.83126,0.925482,-1.83126,-24.988986,-24.988986,75.443021,-36.809357,566,31976.252565,0.084159,1.5,True
