asset,asset_class,strategy,split,final_gross_equity,final_equity,gross_total_return,net_total_return,total_return_pct,gross_sharpe,net_sharpe,sharpe_ratio,max_drawdown_pct,num_trades,win_rate,avg_win_pct,avg_loss_pct,cost_bps,total_transaction_cost,total_turnover,signal_count
ETHUSDT,crypto,Strategy3 / Exit Confirmation,full,127735.02,68966.83,27.735024,-31.03317,-31.03317,0.226104,-0.091347,-0.091347,-61.841227,2166,0.301939,1.251661,-0.554058,4.0,58768.193658,146920484.145544,4331
ETHUSDT,crypto,Strategy4 / EMA + Confirmation,full,124710.82,67040.96,24.710817,-32.959041,-32.959041,0.211458,-0.106792,-0.106792,-60.749796,2141,0.301728,1.252999,-0.556246,4.0,57669.857686,144174644.213798,4281
SOLUSDT,crypto,Strategy0 / Baseline,full,57663.04,19153.29,-42.336956,-80.846712,-80.846712,-0.299137,-0.724921,-0.724921,-82.378162,3085,0.254133,1.21701,-0.475873,4.0,38509.755984,96274389.959062,6169
SOLUSDT,crypto,Strategy1 / Asymmetric Intervals,full,67386.65,19520.62,-32.613351,-80.479381,-80.479381,-0.250229,-0.88598,-0.88598,-82.074582,3580,0.220391,1.187388,-0.386159,4.0,47866.030883,119665077.20827,7159
SOLUSDT,crypto,Strategy2 / EMA Filter,full,59308.71,20683.28,-40.691295,-79.316717,-79.316717,-0.279671,-0.699561,-0.699561,-81.7876,2995,0.251753,1.247368,-0.479197,4.0,38625.422267,96563555.668509,5989
SOLUSDT,crypto,Strategy3 / Exit Confirmation,full,51323.95,23822.19,-48.67605,-76.177812,-76.177812,-0.250427,-0.452611,-0.452611,-78.03101,2287,0.304329,1.382159,-0.677739,4.0,27501.76172,68754404.299837,4573
SOLUSDT,crypto,Strategy4 / EMA + Confirmation,full,54839.88,25552.7,-45.160123,-74.447299,-74.447299,-0.218172,-0.43059,-0.43059,-76.435118,2263,0.304463,1.386982,-0.676734,4.0,29287.176058,73217940.144487,4525
AAPL,equities,Strategy0 / Baseline,full,184158.98,148629.4,84.158975,48.629396,48.629396,1.062908,0.669313,0.669313,-24.605348,1293,0.33256,1.011549,-0.449043,1.0,35529.579662,355295796.618252,2586
AAPL,equities,Strategy1 / Asymmetric Intervals,full,171888.67,132195.54,71.888666,32.195539,32.195539,1.30969,0.667563,0.667563,-30.924432,1577,0.285986,0.918723,-0.337056,1.0,39693.126911,396931269.105252,3154
AAPL,equities,Strategy2 / EMA Filter,full,178824.26,148895.16,78.824265,48.895162,48.895162,0.938576,0.626024,0.626024,-15.765747,1097,0.329991,1.068028,-0.462665,1.0,29929.103032,299291030.318231,2194
AAPL,equities,Strategy3 / Exit Confirmation,full,234841.98,204565.37,134.841975,104.56537,104.56537,0.87114,0.697099,0.697099,-29.616692,937,0.381003,1.269164,-0.642536,1.0,30276.605397,302766053.967159,1874
AAPL,equities,Strategy4 / EMA + Confirmation,full,203736.02,178286.11,103.736017,78.286109,78.286109,0.802434,0.62943,0.62943,-29.893959,849,0.39576,1.225944,-0.67456,1.0,25449.908041,254499080.407316,1698
AMZN,equities,Strategy0 / Baseline,full,167083.11,130086.37,67.083109,30.086372,30.086372,0.813276,0.446817,0.446817,-39.981484,1315,0.337643,1.121528,-0.529613,1.0,36996.737418,369967374.182165,2629
AMZN,equities,Strategy1 / Asymmetric Intervals,full,130755.5,94374.88,30.755496,-5.625115,-5.625115,0.643585,0.059671,0.059671,-45.538277,1593,0.301946,0.980582,-0.420897,1.0,36380.610901,363806109.008846,3185
AMZN,equities,Strategy2 / EMA Filter,full,184488.85,150538.78,84.488849,50.538775,50.538775,0.787109,0.524122,0.524122,-35.681783,1101,0.354223,1.180781,-0.576299,1.0,33950.074025,339500740.247004,2201
AMZN,equities,Strategy3 / Exit Confirmation,full,172267.21,143838.61,72.267214,43.838615,43.838615,0.489,0.342557,0.342557,-37.441425,966,0.36646,1.53528,-0.805964,1.0,28428.599065,284285990.647053,1931
AMZN,equities,Strategy4 / EMA + Confirmation,full,177360.75,151372.99,77.360755,51.372993,51.372993,0.547431,0.405192,0.405192,-35.059959,866,0.378753,1.532442,-0.832977,1.0,25987.761752,259877617.517391,1731
GOOGL,equities,Strategy0 / Baseline,full,84788.18,57386.34,-15.211817,-42.61366,-42.61366,-0.118932,-0.528125,-0.528125,-59.301286,1304,0.328221,1.131101,-0.603445,1.0,27401.842903,274018429.034782,2607
GOOGL,equities,Strategy1 / Asymmetric Intervals,full,82765.32,54329.44,-17.234679,-45.670564,-45.670564,-0.256419,-0.849202,-0.849202,-59.126761,1592,0.296482,0.986545,-0.461818,1.0,28435.884648,284358846.478012,3183
GOOGL,equities,Strategy2 / EMA Filter,full,88056.52,63806.59,-11.943484,-36.193412,-36.193412,-0.06269,-0.38379,-0.38379,-53.59128,1101,0.326067,1.226586,-0.640374,1.0,24249.92721,242499272.099493,2201
GOOGL,equities,Strategy3 / Exit Confirmation,full,123258.92,98997.26,23.258924,-1.002735,-1.002735,0.245916,0.092555,0.092555,-46.062518,938,0.357143,1.610031,-0.871571,1.0,24261.659044,242616590.439078,1875
GOOGL,equities,Strategy4 / EMA + Confirmation,full,112514.1,91162.88,12.514104,-8.837117,-8.837117,0.18519,0.035801,0.035801,-47.40717,860,0.359302,1.634291,-0.907432,1.0,21351.221068,213512210.684107,1719
META,equities,Strategy0 / Baseline,full,80193.74,56137.88,-19.806255,-43.862125,-43.862125,-0.117345,-0.398096,-0.398096,-56.804327,1364,0.315982,1.41564,-0.698758,1.0,24055.869309,240558693.088271,2728
META,equities,Strategy1 / Asymmetric Intervals,full,79015.85,49966.32,-20.984147,-50.033684,-50.033684,-0.208664,-0.696572,-0.696572,-56.230215,1675,0.287761,1.235618,-0.545202,1.0,29049.537156,290495371.556175,3350
