strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,validation,9.32022,8.223714,8.223714,10.421531,38.635853,6.067147,5.36902,5.36902,11.357746,-4.843994,2.151434,0.346154,0.020511,1096.505524,130,63.259342,0.381968,1.0,baseline
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,train,23.785352,18.088446,18.088446,4.394001,31.996974,4.057322,3.144104,3.144104,5.314972,-10.127334,0.433875,0.38704,0.022491,5696.906031,571,31.67854,0.317608,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,validation,3.386945,2.936119,2.936119,3.697371,16.753843,5.738286,4.985916,4.985916,9.485062,-2.232004,1.656525,0.362069,0.008433,450.826233,116,25.311367,0.293678,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,train,-13.869893,-39.435256,-39.435256,-12.173566,78.430056,-0.952906,-3.312074,-3.312074,-5.285025,-45.126243,-0.269767,0.333922,0.067286,25565.362746,566,-69.673597,0.331859,1.5,baseline
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,validation,0.499448,-4.077589,-4.077589,-4.954118,41.790276,0.483696,-2.07306,-2.07306,-3.148473,-10.607126,-0.467056,0.370629,0.057077,4577.036658,143,-28.514607,0.379162,1.5,baseline
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,train,2.815869,-19.554735,-19.554735,-5.476822,85.432698,0.649694,-1.476713,-1.476713,-2.380424,-34.021589,-0.160981,0.362187,0.058878,22370.60416,439,-44.543816,0.319068,1.5,optimized
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,validation,9.194012,3.509685,3.509685,4.300334,81.162124,3.686531,1.656399,1.656399,2.839938,-14.610213,0.294338,0.392857,0.070886,5684.326959,112,31.33647,0.361953,1.5,optimized
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,train,88.25277,-54.634473,-54.634473,-18.44946,234.812222,1.678386,0.339868,0.339868,0.761237,-76.213,-0.242078,0.287263,0.026262,142887.242484,1476,-37.015225,0.325619,4.0,baseline
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation,30.246595,-0.74049,-0.74049,-0.903004,109.441443,3.278034,0.46555,0.46555,0.970001,-24.436538,-0.036953,0.325,0.02656,30987.0851,320,-2.314031,0.351767,4.0,baseline
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,train,246.962987,5.770773,5.770773,1.458151,277.315218,2.860134,1.335812,1.335812,3.000934,-68.950875,0.021148,0.314848,0.04433,241192.214292,1118,5.161693,0.327655,4.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation,27.736952,4.340643,4.340643,5.323438,123.726994,3.523029,1.072015,1.072015,1.982618,-29.781548,0.17875,0.382716,0.020054,23396.308665,243,17.862729,0.35643,4.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,train,45.252077,31.751692,31.751692,7.387293,63.933678,3.64443,2.690762,2.690762,4.467638,-21.29455,0.34691,0.41443,0.053298,13500.385125,596,53.27465,0.374457,1.0,baseline
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,validation,7.121886,6.112639,6.112639,7.726375,36.850851,5.331034,4.599788,4.599788,9.006193,-5.02524,1.537514,0.366667,0.018879,1009.246814,120,50.938656,0.364198,1.0,baseline
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,train,30.451624,23.045511,23.045511,5.530589,57.436015,3.735978,2.918526,2.918526,4.529893,-16.723041,0.330717,0.433333,0.029239,7406.113333,450,51.212246,0.339834,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,validation,6.112612,5.527481,5.527481,6.981976,32.995485,6.920515,6.272729,6.272729,11.752494,-2.125299,3.285174,0.397727,0.010945,585.131318,88,62.81228,0.331837,1.0,optimized
