strategy,optimizer,asset,asset_class,frequency,iteration,candidate_id,params_json,train_net_sharpe,train_gross_sharpe,train_sharpe,train_net_return,train_return,train_volatility,train_max_drawdown,train_trade_count,train_total_cost,train_turnover,cost_bps,valid
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,0,2,"{""entry_interval"": 27, ""exit_confirmation_bars"": 2, ""exit_interval"": 5, ""lookback"": 7, ""vol_target"": 0.021266}",0.789582,2.515715,0.789582,-0.347358,-0.347358,170.512804,-51.250311,1629,192886.875628,0.035452,4.0,True
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,0,3,"{""entry_interval"": 31, ""exit_confirmation_bars"": 5, ""exit_interval"": 12, ""lookback"": 19, ""vol_target"": 0.0277}",0.507644,2.011591,0.507644,-67.986084,-67.986084,366.764772,-91.571257,836,138070.50089,0.025377,4.0,True
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,0,4,"{""entry_interval"": 19, ""exit_confirmation_bars"": 4, ""exit_interval"": 11, ""lookback"": 9, ""vol_target"": 0.023651}",-0.846971,0.194962,-0.846971,-87.33273,-87.33273,307.548251,-94.532804,955,60292.455756,0.011081,4.0,True
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,1,5,"{""entry_interval"": 29, ""exit_confirmation_bars"": 4, ""exit_interval"": 9, ""lookback"": 13, ""vol_target"": 0.024684}",0.858339,2.290455,0.858339,-39.383393,-39.383393,293.200442,-77.80954,1114,182235.018148,0.033494,4.0,True
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,1,6,"{""entry_interval"": 29, ""exit_confirmation_bars"": 4, ""exit_interval"": 9, ""lookback"": 13, ""vol_target"": 0.024764}",0.858339,2.290455,0.858339,-39.383393,-39.383393,293.200442,-77.80954,1114,182235.018148,0.033494,4.0,True
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,1,7,"{""entry_interval"": 27, ""exit_confirmation_bars"": 3, ""exit_interval"": 6, ""lookback"": 9, ""vol_target"": 0.022449}",1.355711,2.774045,1.355711,26.094743,26.094743,235.451079,-65.107837,1231,202985.440976,0.037308,4.0,True
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,1,8,"{""entry_interval"": 28, ""exit_confirmation_bars"": 3, ""exit_interval"": 7, ""lookback"": 11, ""vol_target"": 0.023415}",0.020961,1.215929,0.020961,-76.975263,-76.975263,315.39239,-89.967797,1049,99149.936062,0.018223,4.0,True
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,0,1,"{""entry_interval"": 38, ""exit_confirmation_bars"": 1, ""exit_interval"": 11, ""lookback"": 16, ""vol_target"": 0.009704}",3.144104,4.057322,3.144104,18.088446,18.088446,31.996974,-10.127334,571,5696.906031,0.022491,1.0,True
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,0,2,"{""entry_interval"": 27, ""exit_confirmation_bars"": 2, ""exit_interval"": 5, ""lookback"": 7, ""vol_target"": 0.021266}",3.703743,4.76856,3.703743,93.502834,93.502834,100.644085,-18.502988,670,34904.370051,0.137799,1.0,True
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,0,3,"{""entry_interval"": 31, ""exit_confirmation_bars"": 5, ""exit_interval"": 12, ""lookback"": 19, ""vol_target"": 0.0277}",3.562484,4.213678,3.562484,62.491507,62.491507,158.608988,-35.891174,361,16920.253411,0.066799,1.0,True
